label,diskUsage,forkCount,squashMergeAllowed,isArchived,isFork,C,Shell,C++,assign_,stargazer_,milestone,Ruby,Makefile,Python,JavaScript,HTML,CSS,Java,languageCounter,popularLanguageCounter,hasLanguage,description_len,has_description,has_issue,stargazer_non_zero,has_milestone,has_release,contributed
0,60,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,39,0,0,1,0,0,0
0,3003,4,0,0,0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.6769281260255989,0.0,0.3230718739744011,0.0,0.0,2,2,0,40,0,0,0,0,0,0
0,1120,5,0,0,0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,36,0,1,0,0,0,0
0,1639,1,0,0,0,0.0,0.006373492967180174,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99362650703282,2,2,0,3,1,0,1,0,0,0
0,522,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,67,0,0,1,0,0,0
0,2835,0,0,0,1,0.0,0.08255005123354615,0.0,1.0,1.0,0.0,0.7913464570032317,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,75,0,0,0,0,0,0
0,271,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08181205912587289,0.0,0.9181879408741273,0.0,2,2,0,157,0,0,1,0,0,0
0,112,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,50,0,0,1,0,0,0
0,152,2,0,0,0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,91,0,0,0,0,0,0
0,1262,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,38,0,0,1,0,0,0
0,34786,0,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.003388112004075276,0.0,0.0,0.0,0.0,2,1,0,90,0,0,1,0,0,0
0,196,1,0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,3,1,0,0,0,0,0
0,8321,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,36,0,0,1,0,0,0
0,1339,0,0,0,1,0.6483368651781494,0.0,0.004288815632763837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0,3,1,0,1,0,0,0
0,224,0,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,3,1,1,1,0,0,0
0,661,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,3,1,0,1,0,0,0
0,63,0,0,0,1,0.14929478903997198,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,54,0,0,1,0,0,0
0,309,0,0,0,1,0.0,0.015232143728945956,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,33,0,0,1,0,0,0
0,793469,1,0,0,1,0.0,0.0001069240558038134,0.0,1.0,0.0,0.0,0.0,0.0,0.014952808777343025,0.0,0.0,0.0003840344406303842,0.0,5,3,0,244,0,0,1,0,0,0
0,5340,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26378275148656666,2,1,0,3,1,0,1,0,0,0
0,1122,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,3,1,0,1,0,0,0
0,170,28,0,0,0,0.5748581513085572,0.0,0.025771849135105024,13.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,53,0,1,0,0,0,0
0,704,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,3,1,0,0,0,0,0
0,120,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3,1,0,1,0,0,0
1,5230,121,0,0,0,0.0,0.0,0.0799135899758099,5.0,401.0,0.0,0.0,0.0,0.92008641002419,0.0,0.0,0.0,0.0,2,2,0,3,1,1,0,0,0,0
0,248,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,38,0,0,0,0,0,0
0,541,3,0,0,0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,47,0,0,0,0,0,0
0,181900,0,0,0,1,0.004112212784481533,0.005137818895030203,0.4800694644417009,1.0,0.0,0.0,6.425106451838753e-06,0.000581405833543405,0.406297380639604,0.0,0.056415954592892725,0.0,0.00711387063071063,19,8,0,64,0,0,1,0,0,0
0,42344,41,0,0,0,0.0,0.0,0.0,16.0,104.0,0.0,0.0,0.00027168289011269783,0.05185502785255237,0.0,0.0,0.0,0.0,4,2,0,50,0,0,0,0,0,0
0,6892,2,0,0,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,3,1,0,0,0,0,0
0,244,0,0,0,1,0.0,0.00018673331609641184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,7,0,0,1,0,0,0
1,440860,522,0,0,0,0.0,0.0042412809399248455,0.0,10.0,1563.0,0.0,0.0,0.0,0.9597272086052494,0.0,0.007610019181913711,0.006072734775440212,0.0,6,4,0,96,0,1,0,0,1,1
1,18797,9,0,0,0,0.0008917199426076338,0.0642224295068657,0.6789436333830197,20.0,40.0,0.0,0.0,0.0,0.22136657049623326,0.0,0.0,0.0,0.0,6,4,0,24,0,0,0,0,1,0
0,1079,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,31,0,0,1,0,0,0
0,482655,1,0,0,1,0.0,0.0074361023120240715,0.08215539918970828,1.0,3.0,0.0,0.0,0.00024908158030993114,0.7544162823107261,0.0017366158133386926,0.007687903237741544,0.0,0.0,9,6,0,28,0,0,0,0,0,0
1,5716,0,0,0,1,0.001944861243966639,0.0,0.9827008060417272,1.0,0.0,0.0,0.0,0.0,0.008732869800885865,0.0,0.0,4.23221870538781e-05,0.0,7,4,0,65,0,0,1,0,0,0
1,221517,0,0,0,1,0.9060666654447908,0.012558819765412016,0.036944489266178215,1.0,0.0,0.0,0.0,0.0023413475663264386,0.028011334943021157,0.0,0.0,0.0,0.0,13,5,0,195,0,0,1,0,0,0
0,2890,0,0,0,1,0.0032636766639915164,0.0,0.9826748588191606,1.0,0.0,0.0,0.0,0.0075505328371510486,0.0058318008140704715,0.0,0.0,0.0,0.0,5,4,0,3,1,0,1,0,0,0
0,25,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,61,0,0,1,0,0,0
0,2,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11083249749247744,0.2266800401203611,0.6624874623871615,0.0,3,3,0,137,0,0,1,0,0,0
0,4,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,3,1,0,1,0,0,0
0,6308,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,3,1,0,1,0,0,0
0,599,0,0,0,1,0.6679620178612583,0.0,0.294579622584117,1.0,0.0,0.0,0.0,0.001377345269808359,0.018106464521525773,0.0,0.0,0.0,0.0,7,4,0,207,0,0,1,0,0,0
0,11301,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10202175841621143,0.5461315777186347,0.35184666386515384,0.0,3,3,0,42,0,0,1,0,0,0
0,32,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.02298850574712644,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,58,0,0,1,0,0,0
0,19325,0,0,0,1,0.0,0.005153724974700844,0.0,1.0,0.0,0.0,0.0,0.0,0.9348854123352576,0.0,0.0,0.0,0.0,5,2,0,58,0,0,1,0,0,0
1,421159,0,0,0,1,0.0035270248507749758,0.003486884392051116,0.5068860817348768,1.0,0.0,0.0,3.2431877585622134e-05,2.8554321681076207e-05,0.022999583255801603,0.0,0.0,0.0,0.0,19,6,0,30,0,0,1,0,0,0
0,4368,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,3,1,0,1,0,0,0
0,38,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,25,0,0,1,0,0,0
0,88,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,3,1,0,1,0,0,0
0,5927,1,0,0,0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,3,1,0,0,0,0,0
0,353,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.006364352216406503,0.0,0.0,0.14537032748158785,0.0,0.0,0.011163092315531056,5,3,0,3,1,0,1,0,1,0
